,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,min_travel_time
214756,2015-07-01 16:01:31,2015-07-01 16:27:12,1,2.8,-74.00208282470702,40.719104766845696,-74.00239562988281,40.75010681152344,1541
214758,2015-07-01 16:01:31,2015-07-01 16:32:57,1,2.07,-74.00107574462889,40.74168014526367,-73.97956848144531,40.76105117797852,1886
214759,2015-07-01 16:01:31,2015-07-01 16:05:56,1,0.79,-73.97453308105469,40.74233627319336,-73.96768951416014,40.752117156982415,265
214765,2015-07-01 16:01:32,2015-07-01 16:13:35,1,1.01,-73.98496246337889,40.74134826660156,-73.97836303710938,40.75244140625,723
214761,2015-07-01 16:01:32,2015-07-01 16:03:47,2,0.6,-73.98492431640625,40.74757766723633,-73.99124145507811,40.738967895507805,135
214766,2015-07-01 16:01:33,2015-07-01 16:07:32,1,0.8,-73.97823333740233,40.745990753173835,-73.97525024414062,40.75510025024414,359
214768,2015-07-01 16:01:33,2015-07-01 16:10:20,1,0.5,-73.9739532470703,40.76452255249024,-73.97623443603516,40.75788116455078,527
214769,2015-07-01 16:01:33,2015-07-01 16:14:26,1,1.08,-73.99165344238281,40.738468170166016,-73.97936248779298,40.74568939208984,773
214774,2015-07-01 16:01:35,2015-07-01 16:05:14,1,0.6,-73.9991455078125,40.7393913269043,-74.00108337402342,40.744754791259766,219
214776,2015-07-01 16:01:35,2015-07-01 16:16:15,1,1.58,-73.98822784423827,40.75276184082031,-73.98513793945312,40.73790740966797,880
